stem,class,blob_id,area_px,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,angle_deg,major_est,minor_est,aspect_est,perimeter,circularity
1,keyhole,1,8493,41,40,105,105,93.0,92.0,0.0,156.30650349055617,155.68014965531984,1.0040233313791114,343.36248111724854,0.8895749961742251
1,groove,1,747,205,25,60,27,234.78045515394913,37.62516733601071,172.44886695362032,77.98705948163371,31.991942157788735,2.437709366292339,161.8406196832657,0.3221668239665152
1,groove,2,16575,280,40,450,182,524.1160180995475,103.48627450980392,-174.29740547797235,754.7599648987706,232.31077046912262,3.248923672913242,3209.8174444437027,0.023328996390056412
1,groove,3,920,751,51,70,38,784.8771739130435,62.79347826086956,172.73513825591792,118.77747627783165,50.3809866030422,2.3575853100319017,261.0538227558136,0.1471474163167352
1,groove,4,2245,833,59,219,41,935.7928730512249,80.12962138084633,179.51608336538104,370.86734338266956,56.84288525351259,6.524428434697085,625.2203429937363,0.06622330994536718
1,groove,5,1592,871,103,97,47,926.7770100502513,124.6501256281407,-177.42785147334513,133.42602911568974,62.21798554955335,2.1444928792323252,400.02438509464264,0.11017792841913049
1,groove,6,781,386,127,74,45,419.05249679897565,153.19462227912933,-164.93073400513845,127.49194637047529,49.366608120789365,2.5825542535953847,286.02438473701477,0.09968927571628206
1,groove,7,137,571,136,29,14,588.3065693430657,142.63503649635035,-166.97308933369425,38.383420351915355,14.100611837660505,2.722110080875302,74.38477599620819,0.23051956281394284
1,void_pit,1,994,24,47,37,81,39.44265593561368,92.25653923541248,96.55507990971675,142.3267195781816,41.61808397862671,3.419828655049232,238.50966620445251,0.19593928305920832
1,void_pit,2,2361,92,47,120,104,154.58492164337144,105.33036848792884,108.03192612812924,167.50682829621144,145.78964810530192,1.1489624217095378,583.7888853549957,0.07743147177861386
1,void_pit,3,502,211,71,45,27,229.36653386454182,84.36254980079681,167.71159137687204,73.21045252060077,33.01652957738835,2.2173878127200797,163.8406195640564,0.1991894191930618
1,void_pit,4,246,234,95,19,22,243.02845528455285,105.7560975609756,127.74885452981557,39.311807834489585,18.84442562215836,2.0861238509780127,66.28427064418793,0.6177925280217327
1,void_pit,5,185,753,107,18,18,761.8918918918919,114.46486486486486,66.71855815863472,26.393880328681277,24.561120243409746,1.07462033459744,62.97056245803833,0.4912091151840776
1,void_pit,6,3224,749,121,122,77,807.9984491315137,152.02140198511165,167.93581021249085,187.96204467299395,104.48869940598927,1.7988743657703683,663.2203427553177,0.08482119450265668
1,void_pit,7,330,288,143,42,36,308.5939393939394,164.85757575757575,139.83714906231188,84.37280746935515,15.677665097031948,5.381719890394169,127.05382263660431,0.21407555847275317
